Band,Range,Description,PartNo,MSRP List Price,Standard Channel SKU,Unnamed: 6
E,5001-10000,Tlx Adv EP Sec w/ Frnsics(SG) OF 1:1TE,TRXHXOFSGE-AA,Call For Quote,TRXHXOFSGE-AA-EA,
F,10001-+,Tlx Adv EP Sec w/ Frnsics(SG) OF 1:1TE,TRXHXOFSGE-AA,Call For Quote,TRXHXOFSGE-AA-FA,
TRXHXU-SG,"Trellix Advanced Endpoint Security with Forensics - Upgrade (Singapore Data Center)
LICENSE: Per User
DELIVERABLE: Software as a Service (SaaS) with activation email and/or software download for on-premises deployment. IaaS in AWS for Trellix Endpoint Security (HX)
MANAGEMENT:  ePO - SaaS, ePO - On-prem, ePO - IaaS, Endpoint Security (HX)- Cloud HX, Endpoint Security (HX) – vHX, Threat Intelligence Exchange (TIE), Threat Intelligence Exchange - SaaS and Data Exchange Layer (DXL).
FEATURES INCLUDED: Unified Trellix EDR with Forensics (EDRF) client combines Trellix Endpoint Security HX and Trellix EDR traces, offering comprehensive detection, investigation, forensics, and response for Windows, macOS, and Linux platforms for on-prem environments, Protection for Native Security, Endpoint Security for Windows, macOS, and Linux Platforms, Device Control, Command Line Scanner, Application Control for PCs, Trellix Insights for profiling ""Top Attacks"" with guidance to improve protection, and access to deploy Strategic Innovation Alliance (SIA) partner products. HX Controller deployment options include HW, HW DMZ, Virtual Appliance (VA), VA DMZ and Cloud. Up to 10 VA for HX  included in the subscription cost but must be quoted separately. HW appliance and Cloud HX deployment SKUs need to be purchased separately. Quotes and Orders must additionally include the required number of deployment option physical/virtual appliances if required by customer - for corresponding appliance activation keys.
RESTRICTIONS: Limited to a maximum of 5 devices per User. ePO - SaaS does not support all product features. Refer to specific product documentation for the latest compatibility with ePO - SaaS. This entitlement includes ePO - SaaS Cloud tenancy located in Singapore data center only. EDR Cloud Capabilities are not part of the offering. For further exceptions, please refer to the Quoting Handbook.",,,,,
,Upgrade Subscription Offering - 2 Way,,,,,
,1yr Subscription with 1yr Thrive Essential,,,,,
A,100-250,Tlx Adv EP Sec w/ Fnsc(SG) 2W UPG 1:1 TE,TRXHX2WSGE-DA,Call For Quote,TRXHX2WSGE-DA-AA,
B,251-1000,Tlx Adv EP Sec w/ Fnsc(SG) 2W UPG 1:1 TE,TRXHX2WSGE-DA,Call For Quote,TRXHX2WSGE-DA-BA,
C,1001-2000,Tlx Adv EP Sec w/ Fnsc(SG) 2W UPG 1:1 TE,TRXHX2WSGE-DA,Call For Quote,TRXHX2WSGE-DA-CA,
D,2001-5000,Tlx Adv EP Sec w/ Fnsc(SG) 2W UPG 1:1 TE,TRXHX2WSGE-DA,Call For Quote,TRXHX2WSGE-DA-DA,
E,5001-10000,Tlx Adv EP Sec w/ Fnsc(SG) 2W UPG 1:1 TE,TRXHX2WSGE-DA,Call For Quote,TRXHX2WSGE-DA-EA,
