Band,Range,Description,PartNo,MSRP List Price,Standard Channel SKU,Unnamed: 6
E,5001-10000,Skyhigh SSE - Web Hybrid UPG 1:1BZ,UB2ECE-DA,23.86,UB2ECE-DA-EA,
F,10001-+,Skyhigh SSE - Web Hybrid UPG 1:1BZ,UB2ECE-DA,23.15,UB2ECE-DA-FA,
UCEB-U3,"Skyhigh SSE - Web Gateway Upgrade
LICENSE: Per User. 
DELIVERABLE: Activation via email.
PRODUCT CONTENT:  Skyhigh SWG Software customers should use this SKU to upgrade from WSG  to SSE Essentials
REQUIREMENTS: This Upgrade SKU/pricing can only be used for existing WSG customers for the remainder of an existing active Subscription Term.  MUST be co-termed to their existing Subscription Term/Grant being upgraded mid-term.  Refer to Standard SKU/pricing for customers buying SSE Essentials instead of renewing an expiring subscription. Please refer to the Product Requirements for additional information",,,,,
,Upgrade Subscription Offering,,,,,
,1yr Subscription with 1yr Business Software Support,,,,,
A,5-250,Skyhigh SSE - Web Gateway UPG 1:1BZ,UB3ECE-DA,111.05,UB3ECE-DA-AA,
B,251-1000,Skyhigh SSE - Web Gateway UPG 1:1BZ,UB3ECE-DA,97.71,UB3ECE-DA-BA,
C,1001-2000,Skyhigh SSE - Web Gateway UPG 1:1BZ,UB3ECE-DA,87.93,UB3ECE-DA-CA,
D,2001-5000,Skyhigh SSE - Web Gateway UPG 1:1BZ,UB3ECE-DA,81.81,UB3ECE-DA-DA,
E,5001-10000,Skyhigh SSE - Web Gateway UPG 1:1BZ,UB3ECE-DA,76.87,UB3ECE-DA-EA,
F,10001-+,Skyhigh SSE - Web Gateway UPG 1:1BZ,UB3ECE-DA,74.57,UB3ECE-DA-FA,
UCEA,"Skyhigh SSE Advanced
LICENSE: Per User.
DELIVERABLE: Activation via email.
PRODUCT CONTENT: SWG Cloud Service, Remote Browser Isolation for risky sites, Cloud DLP, CASB Shadow and unlimited CASB SaaS applications as integrated services. Skyhigh SWG Software, Gateway Anti-Malware.In addition it includes access to Client Proxy, Content Security Reporter via ePO (On-prem) and Hybrid configuration.
This SKU will also provide customers with access to the MVISION Marketplace PAID apps.
As part of this SKU, customers also gain access to Skyhigh’s foundational Data Security Posture Management (DSPM) solution, enabling data classification, activity monitoring and control over their sensitive data.
PREREQUISITES for the Marketplace apps: Customer needs to have PL1 (Trellix API) SKU, Apps usage counts against the daily limit set by PL1 SKU.
Post Q1, 2024, SWG Software license contractually restricts its use on Virtual Machines in a production environment. This license can only be used in a test or development environment - (upto 5 MAX VMs with a max core of 4 CPUs per instance). For production usage on Virtual machines, SWG Software subscription license (Skyhigh SWG Software VM Deployment Extension - Subscription) to be purchased in addition to SWG Software License (WSG-S, MVW, MVW-ADV, UCEB, UCEA,UCEC, UCEB-U1, UCEB-U2, UCEB-U3, UCEA-U, UCEA-U1)",,,,,
,Subscription Offering,,,,,
,1yr Subscription with 1yr Business Software Support,,,,,
A,5-250,Skyhigh SSE Advanced 1:1BZ,UCAECE-AA,233.54,UCAECE-AA-AA,
B,251-1000,Skyhigh SSE Advanced 1:1BZ,UCAECE-AA,205.51,UCAECE-AA-BA,
C,1001-2000,Skyhigh SSE Advanced 1:1BZ,UCAECE-AA,184.96,UCAECE-AA-CA,
D,2001-5000,Skyhigh SSE Advanced 1:1BZ,UCAECE-AA,172,UCAECE-AA-DA,
E,5001-10000,Skyhigh SSE Advanced 1:1BZ,UCAECE-AA,161.7,UCAECE-AA-EA,
F,10001-+,Skyhigh SSE Advanced 1:1BZ,UCAECE-AA,156.85,UCAECE-AA-FA,
UCEA-U,"Skyhigh SSE Advanced - Upgrade
LICENSE: Per User. 
Deliverable: Activation via email.
PRODUCT CONTENT:  This is the SKU that should be used for customers that already have SSE Essentials. They should purchase this SKU to upgrade from SSE Essentials to SSE Advanced.
REQUIREMENTS: This Upgrade SKU/pricing can only be used for existing SSE Essentials customers for the remainder of an existing active Subscription Term.  MUST be co-termed to their existing Subscription Term/Grant being upgraded mid-term.  Refer to Standard SKU/pricing for customers buying SSEA instead of renewing an expiring subscription. Please refer to the Product Requirements for additional information",,,,,
,Upgrade Subscription Offering,,,,,
,1yr Subscription with 1yr Business Software Support,,,,,
A,5-250,Skyhigh SSE Advanced UPG 1:1BZ,UCAECE-DA,107.47,UCAECE-DA-AA,
B,251-1000,Skyhigh SSE Advanced UPG 1:1BZ,UCAECE-DA,94.62,UCAECE-DA-BA,
C,1001-2000,Skyhigh SSE Advanced UPG 1:1BZ,UCAECE-DA,85.38,UCAECE-DA-CA,
D,2001-5000,Skyhigh SSE Advanced UPG 1:1BZ,UCAECE-DA,79.65,UCAECE-DA-DA,
E,5001-10000,Skyhigh SSE Advanced UPG 1:1BZ,UCAECE-DA,75.21,UCAECE-DA-EA,
F,10001-+,Skyhigh SSE Advanced UPG 1:1BZ,UCAECE-DA,73.29,UCAECE-DA-FA,
UCEA-U1,"Skyhigh CASB SaaS Unlimited - Skyhigh SSE Advanced Upgrade
LICENSE: Per User.
DELIVERABLE: Activation via email.​
PRODUCT CONTENT:  CASB customers who own Skyhigh CASB for SaaS unlimited can use this SKU to upgrade to SSE-Advanced.
REQUIREMENTS: This Upgrade SKU/pricing can only be used for existing Skyhigh CASB for SaaS unlimited  customers for the remainder of an existing active Subscription Term.  MUST be co-termed to their existing Subscription Term/Grant being upgraded mid-term.  Refer to Standard SKU/pricing for customers buying SSEA instead of renewing an expiring subscription. Please refer to the Product Requirements for additional information",,,,,
,Upgrade Subscription Offering,,,,,
,1yr Subscription with 1yr Business Software Support,,,,,
A,5-250,Skyhigh SaaS Unld – SSE A UPG 1:1BZ,UA1ECE-DA,125.66,UA1ECE-DA-AA,
B,251-1000,Skyhigh SaaS Unld – SSE A UPG 1:1BZ,UA1ECE-DA,97.64,UA1ECE-DA-BA,
C,1001-2000,Skyhigh SaaS Unld – SSE A UPG 1:1BZ,UA1ECE-DA,77.09,UA1ECE-DA-CA,
D,2001-5000,Skyhigh SaaS Unld – SSE A UPG 1:1BZ,UA1ECE-DA,64.13,UA1ECE-DA-DA,
E,5001-10000,Skyhigh SaaS Unld – SSE A UPG 1:1BZ,UA1ECE-DA,53.82,UA1ECE-DA-EA,
F,10001-+,Skyhigh SaaS Unld – SSE A UPG 1:1BZ,UA1ECE-DA,48.97,UA1ECE-DA-FA,
