Band,Range,Description,PartNo,MSRP List Price,Standard Channel SKU,Unnamed: 6
EMCLVX-JP,"Email Security for Office 365 (Tokyo Data Center)
LICENSE: Per User
DELIVERABLE: SaaS with activation email
CONTENT: Email Cloud with AntiVirus/AntiSpam functionality and IVX Enterprise Cloud and Trellix Phishing Simulator
MANAGEMENT: Both Email Cloud and IVX Enterprise Cloud have own console
RESTRICTIONS: Minimum New Sale Order Quantity is 250 Users
NOTE: Trellix-M IAM hosted only. Customers purchasing on a Per-User basis may use the Product for up to twenty (20) submissions per User per month of the Product Term, aggregated across all of Customer’s Users. ""Submissions"" are files or other artefacts submitted to the Product by Customer for processing. Users here refers to the employee count of the organization.",,,,,
,Subscription Offering,,,,,
,1yr Subscription with 1yr Thrive Essential,,,,,
A,100-250,Email Sec for Office 365 (JP) 1:1TE,EMCVJPE-AA,Call For Quote,EMCVJPE-AAAA,
B,251-1000,Email Sec for Office 365 (JP) 1:1TE,EMCVJPE-AA,127.14,EMCVJPE-AABA,
C,1001-2000,Email Sec for Office 365 (JP) 1:1TE,EMCVJPE-AA,127.14,EMCVJPE-AACA,
D,2001-5000,Email Sec for Office 365 (JP) 1:1TE,EMCVJPE-AA,115.26,EMCVJPE-AADA,
E,5001-10000,Email Sec for Office 365 (JP) 1:1TE,EMCVJPE-AA,115.26,EMCVJPE-AAEA,
F,10001-+,Email Sec for Office 365 (JP) 1:1TE,EMCVJPE-AA,103.7,EMCVJPE-AAFA,
,IVX Enterprise Cloud,,,,,
IVX-JP,"IVX Enterprise Cloud (Tokyo Data Center)
LICENSE: Per User
DELIVERABLE: IVX Enterprise Cloud
REQUIREMENTS: Minimum New Sale Order Quantity is 250 Users
NOTE:  Trellix-M IAM hosted only",,,,,
,Subscription Offering,,,,,
,1yr Subscription with 1yr Thrive Essential,,,,,
A,1-250,IVX Enterprise Cloud (JP) 1:1TE,IVXJPE-AA,74.48,IVXJPE-AA-AA,
B,251-1000,IVX Enterprise Cloud (JP) 1:1TE,IVXJPE-AA,69.34,IVXJPE-AA-BA,
C,1001-2000,IVX Enterprise Cloud (JP) 1:1TE,IVXJPE-AA,64.21,IVXJPE-AA-CA,
D,2001-5000,IVX Enterprise Cloud (JP) 1:1TE,IVXJPE-AA,61.63,IVXJPE-AA-DA,
E,5001-10000,IVX Enterprise Cloud (JP) 1:1TE,IVXJPE-AA,59.08,IVXJPE-AA-EA,
F,10001-+,IVX Enterprise Cloud (JP) 1:1TE,IVXJPE-AA,56.5,IVXJPE-AA-FA,
IVX-JP-BP,"IVX Enterprise Cloud -Banded Submission Pack (Tokyo Data Center)
LICENSE: Submission Pack
DELIVERABLE: IVX Enterprise Cloud
NOTE:  Trellix-M IAM hosted. Equally divided monthly quota of submission enforced over 10000 quantity (use it or lose it)",,,,,
,Subscription Offering,,,,,
,1yr Subscription with 1yr Thrive Essential,,,,,
