Band,Range,Description,PartNo,MSRP List Price,Standard Channel SKU,Unnamed: 6
E,5001-10000,Data Sec Endpt Prot Suite (DE) 1:1TE,CDADEE-AT,97.04,CDADEE-AT-EA,
F,10001-+,Data Sec Endpt Prot Suite (DE) 1:1TE,CDADEE-AT,75.55,CDADEE-AT-FA,
CDAU-S-DE,"Trellix Data Security Endpoint Protection Suite Upgrade - Subscription (Germany Data Center)
LICENSE: Per Endpoint (Total number of Laptops, Workstation and Servers)
MANAGEMENT: ePO - SaaS and ePO - On-prem included to manage DLP Endpoint Complete, Drive Encryption, File & Removable Media Protection and Native Drive Encryption Subscriptions.
DELIVERABLE: Software as a Service (SaaS) with activation email and/or software download for on-premises deployment.
PRODUCT CONTENT: Upgrade from CDB (Data Encryption Suite) that provides the core features of the Data Security Encryption Suite, along with DLP Endpoint Complete. Includes DLP Endpoint Complete, Drive Encryption, File & Removable Media Protection and Native Drive Encryption.
PRODUCT REQUIRES: ePO - SaaS or ePO - On-prem for on-premises management of DLP Endpoint Complete, Drive Encryption, File & Removable Media Protection and Native Drive Encryption. Does not require Endpoint protection, but will require the Trellix Agent.
Note: Trellix File & Removable Media Protection in ePO SaaS is currently limited to removable media offsite encryption.
Note: Trellix Native Drive Encryption in ePO SaaS does not support network unlock or AD preboot authentication (deprecated).",,,,,
,Upgrade Subscription Offering,,,,,
,1yr Subscription with 1yr Thrive Essential,,,,,
A,5-250,Data Sec Endpt Prot Suite UPG (DE) 1:1TE,CDADEE-DT,171.97,CDADEE-DT-AA,
B,251-1000,Data Sec Endpt Prot Suite UPG (DE) 1:1TE,CDADEE-DT,148.42,CDADEE-DT-BA,
C,1001-2000,Data Sec Endpt Prot Suite UPG (DE) 1:1TE,CDADEE-DT,127.02,CDADEE-DT-CA,
D,2001-5000,Data Sec Endpt Prot Suite UPG (DE) 1:1TE,CDADEE-DT,112.87,CDADEE-DT-DA,
E,5001-10000,Data Sec Endpt Prot Suite UPG (DE) 1:1TE,CDADEE-DT,97.04,CDADEE-DT-EA,
F,10001-+,Data Sec Endpt Prot Suite UPG (DE) 1:1TE,CDADEE-DT,75.55,CDADEE-DT-FA,
