Unnamed: 0,Unnamed: 1,Unnamed: 2
,NDLPU-S-DE,Trellix Data Security Network Suite Upgrade - Subscription (Germany Data Center)
,CDA-S-DE,Trellix Data Security Endpoint Protection Suite - Subscription (Germany Data Center)
,CDAU-S-DE,Trellix Data Security Endpoint Protection Suite Upgrade - Subscription (Germany Data Center)
,CDB-S-DE,Trellix Data Encryption Suite - Subscription (Germany Data Center)
,CDBU-S-DE,Trellix Data Encryption Suite - Subscription Upgrade (Germany Data Center)
,,Data Loss Prevention (DLP) (Subscription)
,DLP-S-DE,Trellix Data Loss Prevention Endpoint Complete - Subscription (Germany Data Center)
,DLPU-S-DE,Trellix Data Loss Prevention Endpoint Complete Upgrade - Subscription (Germany Data Center)
,DLS-DE,Trellix Data Loss Prevention Extended Data Retention (Add On) (Germany Data Center)
,DEC-S-DE,Trellix Device Control - Subscription (Germany Data Center)
,DDS-S-DE,Trellix Data Loss Prevention Discover - Subscription (Germany Data Center)
,DDSU-S-DE,Trellix Data Loss Prevention Discover Upgrade - Subscription (Germany Data Center)
,DMO-S-DE,Trellix Data Loss Prevention Network Monitor - Subscription (Germany Data Center)
,DMOU-S-DE,Trellix Data Loss Prevention Network Monitor Upgrade - Subscription (Germany Data Center)
,DPV-S-DE,Trellix Data Loss Prevention Network Prevent - Subscription (Germany Data Center)
,DPVU-S-DE,Trellix Data Loss Prevention Network Prevent Upgrade - Subscription (Germany Data Center)
,OCR-S-DE,Trellix Data Loss Prevention OCR Network (Add-on) - Subscription (Germany Data Center)
,OCRE-S-DE,Trellix Data Loss Prevention OCR Endpoint (Add-on) - Subscription (Germany Data Center)
,OCREN-S-DE,Trellix Data Loss Prevention OCR Suite (Add-on) - Subscription (Germany Data Center)
,,Data Encryption (Subscription)
,TDE-S-DE,Trellix Drive Encryption - Subscription (German Data Center)
,TNE-S-DE,Trellix Native Drive Encryption - Subscription (German Data Center)
,FRP-S-DE,Trellix File and Removable Media Protection - Subscription (German Data Center)
,,IVX Enterprise Cloud
,IVX-DE,IVX Enterprise Cloud (Germany Data Center)
,IVX-DE-BP,IVX Enterprise Cloud -Banded Submission Pack (Germany Data Center)
,,Device to Cloud Defense (SaaS Only)
,MVA-DE,Trellix Advanced (Germany Data Center)
,MVAU-DE,Trellix Advanced - Upgrade (Germany Data Center)
,MVP-DE,Trellix Premium (Germany Data Center)
,MVPU-DE,Trellix Premium - Upgrade (Germany Data Center)
,,Protection and EDR (SaaS & On-Premise)
,TRXHX-DE,Trellix Advanced Endpoint Security with Forensics (Germany Data Center)
,TRXHXU-DE,Trellix Advanced Endpoint Security with Forensics - Upgrade (Germany Data Center)
,TRXE1-DE,Trellix Endpoint Security Suite (Germany Data Center)
