Channel SKU,Part. No.,Layer1,Layer2,Layer3 STUB,Layer3 STUB Description,Layer4,Layer5,Band,Min,Max,Description,MSRP List Price,Assurance,Packaged Weight,Packaged Size,Tiered Pric,Pricing Tier,Reseller Authorization,Tier 1 Authorization,Reorder,Export Restriction,FCS Date,EOS Date,Commission Group Description,EAN/UPC,Effective Date,Currency,Price List,Solution Competency
TPSJPE-AA-CA,TPSJPE-AA,Trellix JP_ AU Data Centers,Email Security,TPS-JP,Trellix Phishing Simulator (Tokyo Data Center),Add On Offering,1yr Subscription with 1yr Thrive Essential,C,1001,2000,Trellix Phishing Sim (JP) 1:1TE,24.11,Yes, , ,No,Standard,No,No,No,Yes,05/07/2025, , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security
TPSJPE-AA-DA,TPSJPE-AA,Trellix JP_ AU Data Centers,Email Security,TPS-JP,Trellix Phishing Simulator (Tokyo Data Center),Add On Offering,1yr Subscription with 1yr Thrive Essential,D,2001,5000,Trellix Phishing Sim (JP) 1:1TE,21.68,Yes, , ,No,Standard,No,No,No,Yes,05/07/2025, , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security
TPSJPE-AA-EA,TPSJPE-AA,Trellix JP_ AU Data Centers,Email Security,TPS-JP,Trellix Phishing Simulator (Tokyo Data Center),Add On Offering,1yr Subscription with 1yr Thrive Essential,E,5001,10000,Trellix Phishing Sim (JP) 1:1TE,19.52,Yes, , ,No,Standard,No,No,No,Yes,05/07/2025, , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security
TPSJPE-AA-FA,TPSJPE-AA,Trellix JP_ AU Data Centers,Email Security,TPS-JP,Trellix Phishing Simulator (Tokyo Data Center),Add On Offering,1yr Subscription with 1yr Thrive Essential,F,10001,+,Trellix Phishing Sim (JP) 1:1TE,17.57,Yes, , ,No,Standard,No,No,No,Yes,05/07/2025, , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security
ACDAUE-AA-AA,ACDAUE-AA,Trellix JP_ AU Data Centers,File & Application Control,ACD-S-AU,Trellix Application Control for PCs - Subscription (Australia Data Center),Subscription Offering,1yr Subscription with 1yr Thrive Essential,A,5,250,Trellix App Control PCs (AU) 1:1TE,125.83,No, , ,No,Standard,No,No,No,Yes,05/29/2025, , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security
ACDAUE-AA-BA,ACDAUE-AA,Trellix JP_ AU Data Centers,File & Application Control,ACD-S-AU,Trellix Application Control for PCs - Subscription (Australia Data Center),Subscription Offering,1yr Subscription with 1yr Thrive Essential,B,251,1000,Trellix App Control PCs (AU) 1:1TE,119.06,No, , ,No,Standard,No,No,No,Yes,05/29/2025, , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security
ACDAUE-AA-CA,ACDAUE-AA,Trellix JP_ AU Data Centers,File & Application Control,ACD-S-AU,Trellix Application Control for PCs - Subscription (Australia Data Center),Subscription Offering,1yr Subscription with 1yr Thrive Essential,C,1001,2000,Trellix App Control PCs (AU) 1:1TE,99.17,No, , ,No,Standard,No,No,No,Yes,05/29/2025, , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security
ACDAUE-AA-DA,ACDAUE-AA,Trellix JP_ AU Data Centers,File & Application Control,ACD-S-AU,Trellix Application Control for PCs - Subscription (Australia Data Center),Subscription Offering,1yr Subscription with 1yr Thrive Essential,D,2001,5000,Trellix App Control PCs (AU) 1:1TE,74.42,No, , ,No,Standard,No,No,No,Yes,05/29/2025, , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security
ACDAUE-AA-EA,ACDAUE-AA,Trellix JP_ AU Data Centers,File & Application Control,ACD-S-AU,Trellix Application Control for PCs - Subscription (Australia Data Center),Subscription Offering,1yr Subscription with 1yr Thrive Essential,E,5001,10000,Trellix App Control PCs (AU) 1:1TE,55.76,No, , ,No,Standard,No,No,No,Yes,05/29/2025, , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security
ACDAUE-AA-FA,ACDAUE-AA,Trellix JP_ AU Data Centers,File & Application Control,ACD-S-AU,Trellix Application Control for PCs - Subscription (Australia Data Center),Subscription Offering,1yr Subscription with 1yr Thrive Essential,F,10001,+,Trellix App Control PCs (AU) 1:1TE,41.9,No, , ,No,Standard,No,No,No,Yes,05/29/2025, , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security
