Band,Range,Description,PartNo,MSRP List Price,Standard Channel SKU,Unnamed: 6
B,26-50,Cloud Workload Sec Essl 1YrTE[P+],CWEYFM-AB,423.54,CWEYFM-AB-BA,
C,51-100,Cloud Workload Sec Essl 1YrTE[P+],CWEYFM-AB,378.73,CWEYFM-AB-CA,
D,101-250,Cloud Workload Sec Essl 1YrTE[P+],CWEYFM-AB,338.84,CWEYFM-AB-DA,
E,251-500,Cloud Workload Sec Essl 1YrTE[P+],CWEYFM-AB,323.89,CWEYFM-AB-EA,
F,501-1000,Cloud Workload Sec Essl 1YrTE[P+],CWEYFM-AB,303.97,CWEYFM-AB-FA,
G,1001-2000,Cloud Workload Sec Essl 1YrTE[P+],CWEYFM-AB,284.0,CWEYFM-AB-GA,
H,2001-5000,Cloud Workload Sec Essl 1YrTE[P+],CWEYFM-AB,259.1,CWEYFM-AB-HA,
I,5001-10000,Cloud Workload Sec Essl 1YrTE[P+],CWEYFM-AB,244.15,CWEYFM-AB-IA,
J,10001-+,Cloud Workload Sec Essl 1YrTE[P+],CWEYFM-AB,229.23,CWEYFM-AB-JA,
CWSE-S,"Trellix Cloud Workload Security - Essentials Subscription
LICENSE: Per OS Instance.
DELIVERABLE: Download.
MANAGEMENT:  ePO - On-prem, ePO - IaaS.
PRODUCT CONTENT: Cloud Workload Security for hybrid cloud (VMware, OpenStack, Citrix Xen, Hyper-V, AWS and Azure), Endpoint Security for Servers, Endpoint Security Firewall Module, Endpoint Security for Linux, Threat Intelligence Exchange (TIE), MOVE Enterprise  (includes: MOVE AV Agentless and Multi-Platform), Network Visibility and Micro-Segmentation based firewall.",,,,,
,Subscription Offering,,,,,
,1yr Subscription with 1yr Thrive Essential,,,,,
A,1-25,Cloud Workload Sec Essl 1:1TE [P+],CWEECE-AB,689.02,CWEECE-AB-AA,
B,26-50,Cloud Workload Sec Essl 1:1TE [P+],CWEECE-AB,585.68,CWEECE-AB-BA,
C,51-100,Cloud Workload Sec Essl 1:1TE [P+],CWEECE-AB,523.64,CWEECE-AB-CA,
D,101-250,Cloud Workload Sec Essl 1:1TE [P+],CWEECE-AB,468.53,CWEECE-AB-DA,
E,251-500,Cloud Workload Sec Essl 1:1TE [P+],CWEECE-AB,447.87,CWEECE-AB-EA,
F,501-1000,Cloud Workload Sec Essl 1:1TE [P+],CWEECE-AB,420.3,CWEECE-AB-FA,
G,1001-2000,Cloud Workload Sec Essl 1:1TE [P+],CWEECE-AB,392.74,CWEECE-AB-GA,
H,2001-5000,Cloud Workload Sec Essl 1:1TE [P+],CWEECE-AB,358.3,CWEECE-AB-HA,
I,5001-10000,Cloud Workload Sec Essl 1:1TE [P+],CWEECE-AB,337.61,CWEECE-AB-IA,
