Layer1,Layer2,Layer3 STUB,Layer3 STUB Description,Layer4,Layer5,Band,Min,Max,Description,Part. No.,Channel SKU,MSRP List Price,Assurance,Packaged Weight,Packaged Size,Tiered Pric,Pricing Tier,Reseller Authorization,Tier 1 Authorization,Reorder,Export Restriction,FCS Date,EOS Date,Commission Group Description,EAN/UPC,Effective Date,Currency,Price List,Solution Competency,Product Type
Trellix Email Security,Email Security,EMCL,Email Security Cloud Edition,Subscription Offering,1yr Subscription with 1yr Thrive Essential,B,251,1000,Email Sec Cld Ed 1:1TE,EMCLECE-AA,EMCLECE-AABA,76.41,Yes, , ,No,Standard,No,No,No,Yes, , , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security,Email Security Cloud
Trellix Email Security,Email Security,EMCL,Email Security Cloud Edition,Subscription Offering,1yr Subscription with 1yr Thrive Essential,C,1001,2000,Email Sec Cld Ed 1:1TE,EMCLECE-AA,EMCLECE-AACA,62.93,Yes, , ,No,Standard,No,No,No,Yes, , , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security,Email Security Cloud
Trellix Email Security,Email Security,EMCL,Email Security Cloud Edition,Subscription Offering,1yr Subscription with 1yr Thrive Essential,D,2001,5000,Email Sec Cld Ed 1:1TE,EMCLECE-AA,EMCLECE-AADA,58.43,Yes, , ,No,Standard,No,No,No,Yes, , , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security,Email Security Cloud
Trellix Email Security,Email Security,EMCL,Email Security Cloud Edition,Subscription Offering,1yr Subscription with 1yr Thrive Essential,E,5001,10000,Email Sec Cld Ed 1:1TE,EMCLECE-AA,EMCLECE-AAEA,56.18,Yes, , ,No,Standard,No,No,No,Yes, , , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security,Email Security Cloud
Trellix Email Security,Email Security,EMCL,Email Security Cloud Edition,Subscription Offering,1yr Subscription with 1yr Thrive Essential,F,10001,+,Email Sec Cld Ed 1:1TE,EMCLECE-AA,EMCLECE-AAFA,47.19,Yes, , ,No,Standard,No,No,No,Yes, , , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security,Email Security Cloud
Trellix Email Security,Email Security,EMCA,Email Security Cloud AntiVirus/AntiSpam Edition,Subscription Offering,1yr Subscription with 1yr Thrive Essential,A,100,250,Email Sec Cld AVAS Ed 1:1TE,EMCAECE-AA,EMCAECE-AAAA,158.6,Yes, , ,No,Standard,No,No,No,Yes, , , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security,Email Security Cloud
Trellix Email Security,Email Security,EMCA,Email Security Cloud AntiVirus/AntiSpam Edition,Subscription Offering,1yr Subscription with 1yr Thrive Essential,B,251,1000,Email Sec Cld AVAS Ed 1:1TE,EMCAECE-AA,EMCAECE-AABA,112.33,Yes, , ,No,Standard,No,No,No,Yes, , , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security,Email Security Cloud
Trellix Email Security,Email Security,EMCA,Email Security Cloud AntiVirus/AntiSpam Edition,Subscription Offering,1yr Subscription with 1yr Thrive Essential,C,1001,2000,Email Sec Cld AVAS Ed 1:1TE,EMCAECE-AA,EMCAECE-AACA,92.5,Yes, , ,No,Standard,No,No,No,Yes, , , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security,Email Security Cloud
Trellix Email Security,Email Security,EMCA,Email Security Cloud AntiVirus/AntiSpam Edition,Subscription Offering,1yr Subscription with 1yr Thrive Essential,D,2001,5000,Email Sec Cld AVAS Ed 1:1TE,EMCAECE-AA,EMCAECE-AADA,73.04,Yes, , ,No,Standard,No,No,No,Yes, , , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security,Email Security Cloud
Trellix Email Security,Email Security,EMCA,Email Security Cloud AntiVirus/AntiSpam Edition,Subscription Offering,1yr Subscription with 1yr Thrive Essential,E,5001,10000,Email Sec Cld AVAS Ed 1:1TE,EMCAECE-AA,EMCAECE-AAEA,70.25,Yes, , ,No,Standard,No,No,No,Yes, , , , ,04/14/2025,AUD,AUSTRALIA COM TIER 1 PRICE BOOK,Endpoint Security,Email Security Cloud
