Band,Range,Description,PartNo,MSRP List Price,Standard Channel SKU,Unnamed: 6
A,1-+,Helix Connect XDR Ret 100GB AddOn 1:1TE,XM2ECE-AA,268289.23,XM2ECE-AA-AA,
OXDR-250GB-10M-ADDON,"Helix Connect XDR Retention 10 Months Add-On - 250 GB
LICENSE: Units of Storage Per Day
DELIVERABLE: Software as a Service (SaaS) with activation email
CONTENT: Extends Helix Connect's data retention from 3 months to 13 months.You must have the corresponding OXDR-250GB-ADDON subscription (that includes 90 days) for this 10 month add-on, which provides a full 13 months in total.
FEATURES INCLUDED: 13 month retention of customer logs.
RESTRICTIONS: Must already own the Trellix OXDR-250GB-ADDON offering. For further exceptions, please refer to the quoting handbook.",,,,,
,Add On Offering,,,,,
,1yr Subscription with 1yr Thrive Essential,,,,,
A,1-+,Helix Connect XDR Ret 250GB AddOn 1:1TE,XM3ECE-AA,670723.09,XM3ECE-AA-AA,
OXDR-1TB-10M-ADDON,"Helix Connect XDR Retention 10 Months Add-On - 1 TB
LICENSE: Units of Storage Per Day
DELIVERABLE: Software as a Service (SaaS) with activation email
CONTENT: Extends Helix Connect's data retention from 3 months to 13 months.You must have the corresponding OXDR-1TB-ADDON subscription (that includes 90 days) for this 10 month add-on, which provides a full 13 months in total.
FEATURES INCLUDED: 13 month retention of customer logs.
RESTRICTIONS: Must already own the Trellix OXDR-1TB-ADDON offering. For further exceptions, please refer to the quoting handbook.",,,,,
,Add On Offering,,,,,
,1yr Subscription with 1yr Thrive Essential,,,,,
A,1-+,Helix Connect XDR Ret 1TB AddOn 1:1TE,XM4ECE-AA,2683365.4,XM4ECE-AA-AA,
OXDRCS-2YR-50GB-ADDON,"Helix Connect 2 Year Cold Storage - 50 GB
LICENSE: Units of Storage Per Day
DELIVERABLE: Software as a Service (SaaS) with activation email
CONTENT: Extends Helix Connect's cold storage data archiving from 1 year to 2 years.
RESTRICTIONS: Must already own the OXDR-50GB-ADDON offering. Cannot be stacked. Cannot purchase multiples and/or mixes of 2 and 3 yr options.",,,,,
,Add On Offering,,,,,
,1yr Subscription with 1yr Thrive Essential,,,,,
A,1-+,Helix Con Cold Stg 2Yr 50GB 1:1TE,XCS21ECE-AA,14415.44,XCS21ECE-AA-AA,FCS Date 03/31/2025
OXDRCS-2YR-100GB-ADDON,"Helix Connect 2 Year Cold Storage - 100 GB
LICENSE: Units of Storage Per Day
DELIVERABLE: Software as a Service (SaaS) with activation email
CONTENT: Extends Helix Connect's cold storage data archiving from 1 year to 2 years.
RESTRICTIONS: Must already own the OXDR-100GB-ADDON offering. Cannot be stacked. Cannot purchase multiples and/or mixes of 2 and 3 yr options.",,,,,
,Add On Offering,,,,,
,1yr Subscription with 1yr Thrive Essential,,,,,
A,1-+,Helix Con Cold Stg 2Yr 100GB 1:1TE,XCS22ECE-AA,28830.87,XCS22ECE-AA-AA,FCS Date 03/31/2025
OXDRCS-2YR-250GB-ADDON,"Helix Connect 2 Year Cold Storage - 250 GB
LICENSE: Units of Storage Per Day
DELIVERABLE: Software as a Service (SaaS) with activation email
CONTENT: Extends Helix Connect's cold storage data archiving from 1 year to 2 years.
RESTRICTIONS: Must already own the OXDR-250GB-ADDON offering. Cannot be stacked. Cannot purchase multiples and/or mixes of 2 and 3 yr options.",,,,,
,Add On Offering,,,,,
,1yr Subscription with 1yr Thrive Essential,,,,,
A,1-+,Helix Con Cold Stg 2Yr 250GB 1:1TE,XCS23ECE-AA,72077.16,XCS23ECE-AA-AA,FCS Date 03/31/2025
OXDRCS-2YR-1TB-ADDON,"Helix Connect 2 Year Cold Storage - 1 TB
LICENSE: Units of Storage Per Day
DELIVERABLE: Software as a Service (SaaS) with activation email
CONTENT: Extends Helix Connect's cold storage data archiving from 1 year to 2 years.
RESTRICTIONS: Must already own the OXDR-1TB-ADDON offering. Cannot be stacked. Cannot purchase multiples and/or mixes of 2 and 3 yr options.",,,,,
,Add On Offering,,,,,
,1yr Subscription with 1yr Thrive Essential,,,,,
A,1-+,Helix Con Cold Stg 2Yr 1TB 1:1TE,XCS24ECE-AA,288308.68,XCS24ECE-AA-AA,FCS Date 03/31/2025
OXDRCS-3YR-50GB-ADDON,"Helix Connect 3 Year Cold Storage - 50 GB
LICENSE: Units of Storage Per Day
DELIVERABLE: Software as a Service (SaaS) with activation email
CONTENT: Extends Helix Connect's cold storage data archiving from 1 year to 3 years.
RESTRICTIONS: Must already own the OXDR-50GB-ADDON offering. Cannot be stacked. Cannot purchase multiples and/or mixes of 2 and 3 yr options.",,,,,
,Add On Offering,,,,,
,1yr Subscription with 1yr Thrive Essential,,,,,
A,1-+,Helix Con Cold Stg 3Yr 50GB 1:1TE,XCS31ECE-AA,28830.87,XCS31ECE-AA-AA,FCS Date 03/31/2025
OXDRCS-3YR-100GB-ADDON,"Helix Connect 3 Year Cold Storage - 100 GB
LICENSE: Units of Storage Per Day
DELIVERABLE: Software as a Service (SaaS) with activation email
CONTENT: Extends Helix Connect's cold storage data archiving from 1 year to 3 years.
RESTRICTIONS: Must already own the OXDR-100GB-ADDON offering. Cannot be stacked. Cannot purchase multiples and/or mixes of 2 and 3 yr options.",,,,,
,Add On Offering,,,,,
,1yr Subscription with 1yr Thrive Essential,,,,,
A,1-+,Helix Con Cold Stg 3Yr 100GB 1:1TE,XCS32ECE-AA,57661.74,XCS32ECE-AA-AA,FCS Date 03/31/2025
